fii_name,quote,dividend_yield,price_book_ratio,liquidity,appreciation_12months,vacancy,number_unit_holders,issued_units,net_asset_value_per_unit,net_asset_value,last_dividend_payment,corporate_name,cnpj,target_audience,invest_objective,market_sector,fund_type,fund_term,management_type,management_fee,date_process
VCJR11,"R$ 87,30","12,60%","0,91","R$ 2,07 M","8,34%",-,35.005,14.723.959,"R$ 95,44","R$ 1,41 Bilhão","R$ 0,70",VECTIS JUROS REAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.400.250/0001-05,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,60% a.a sobre patrimônio liquido",2024-11-09
SPXS11,"R$ 9,20","13,52%","0,97","R$ 452,10 K","12,47%",-,19.267,20.189.029,"R$ 9,53","R$ 192,36 Milhões","R$ 0,10",SPX SYN MULT,43.010.543/0001-00,Geral,Híbridos,Híbrido,Outro,Indeterminado,Ativa,"0,80%",2024-11-09
QAGR11,"R$ 43,71","12,04%","0,72","R$ 184,56 K","1,82%",-,18.970,5.039.989,"R$ 60,53","R$ 305,08 Milhões","R$ 0,44",QUASAR AGRO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.754.734/0001-52,Geral,Renda,Outros,Fundo misto,Indeterminado,Ativa,"0,25% sobre o Patrimônio Líquido",2024-11-09
EQIR11,"R$ 8,41","13,57%","0,86","R$ 291,37 K","-7,58%",-,11.720,10.909.304,"R$ 9,73","R$ 106,16 Milhões","R$ 0,10",EQI RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.076.380/0001-25,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido",2024-11-09
FAED11,"R$ 138,70","14,44%","0,63","R$ 64,30 K","8,89%",-,4.483,692.366,"R$ 219,83","R$ 152,21 Milhões","R$ 1,58",FUNDO DE INVESTIMENTO IMOBILIÁRIO – FII ANHANGUERA EDUCACIONAL,11.179.118/0001-45,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Passiva,"0,3% a.a.",2024-11-09
ALZM11,"R$ 7,24","14,63%","0,90","R$ 179,55 K","-2,56%",-,12.017,15.180.529,"R$ 8,07","R$ 122,57 Milhões","R$ 0,09",ALIANZA MULTIESTRATÉGIA FUNDO DE INVESTIMENTO,34.847.063/0001-08,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,,2024-11-09
VVCR11,"R$ 9,45","10,60%","0,89","R$ 63,02 K","-1,87%",-,2.473,7.508.321,"R$ 10,61","R$ 79,69 Milhões","R$ 0,08",BB RENDA DE PAPEIS IMOBILIÁRIOS II FUNDO DE INVESTIMENTO IMOBILIÁRIO,23.120.027/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Determinado,Ativa,"0,90% a.a",2024-11-09
BBIG11,"R$ 8,10","5,99%","0,83","R$ 1,01 M","-14,65%","2,80%",24.828,99.120.983,"R$ 9,70","R$ 961,55 Milhões","R$ 0,09",BB PREMIUM MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO DE RESPONSABILIDADE LIMITADA,54.375.187/0001-37,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"0,80%",2024-11-09
SPTW11,"R$ 32,08","16,49%","0,56","R$ 98,00 K","-21,20%",-,21.946,1.797.989,"R$ 57,49","R$ 103,36 Milhões","R$ 0,40",SP Downtown Fundo de Investimento,15.538.445/0001-05,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,25% a.a",2024-11-09
PLCR11,"R$ 79,85","11,67%","0,87","R$ 286,30 K","2,03%",-,16.245,2.109.158,"R$ 92,04","R$ 194,12 Milhões","R$ 0,75",FUNDO DE INVESTIMENTO IMOBILIÁRIO PLURAL RECEBÍVEIS,32.527.683/0001-26,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,20% a.a",2024-11-09
SADI11,"R$ 8,61","12,82%","0,90","R$ 444,97 K","14,80%",-,9.951,15.486.829,"R$ 9,53","R$ 147,59 Milhões","R$ 0,09",SANTANDER PAPEIS IMOBILIÁRIOS CDI FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.903.521/0001-45,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a",2024-11-09
JGPX11,"R$ 63,69","19,78%","0,69","R$ 1,24 M","-19,95%",-,1,2.141.237,"R$ 91,87","R$ 196,72 Milhões","R$ 0,77",JGP Crédito,42.888.292/0001-90,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
MANA11,"R$ 8,48","14,62%","0,90","R$ 1,31 M","3,16%",-,15.324,37.536.129,"R$ 9,38","R$ 352,24 Milhões","R$ 0,10",MANATÍ CAPITAL HEDGE FUND FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.888.583/0001-89,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Outro,Indeterminado,Ativa,"1,00% a.a.",2024-11-09
VTLT11,"R$ 90,75","12,20%","0,80","R$ 118,10 K","5,86%",-,6.180,2.114.989,"R$ 112,85","R$ 238,68 Milhões","R$ 0,93",FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM LOGÍSTICA,27.368.600/0001-63,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,"0,95% a.a",2024-11-09
KIVO11,"R$ 76,45","16,18%","0,86","R$ 503,23 K","0,04%",-,6.929,2.222.725,"R$ 88,84","R$ 197,46 Milhões","R$ 0,90",KILIMA VOLKANO RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.273.325/0001-98,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,25% a.a. sobre patrimônio líquido (mínimo R$20.000,00 mensais)",2024-11-09
BNFS11,"R$ 103,90","15,74%","1,23","R$ 113,75 K","-2,51%","4,70%",114.531,699.989,"R$ 84,47","R$ 59,13 Milhões","R$ 1,36",BANRISUL NOVAS FRONTEIRAS FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.570.431/0001-60,Geral,Desenvolvimento para renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Ativa,"0,4% a.a sobre patrimônio liquido (mínimo R$20.000,00 mensais)",2024-11-09
LSAG11,"R$ 75,25","19,28%","0,77","R$ 184,46 K","-13,79%",-,2.865,1.009.323,"R$ 97,91","R$ 98,82 Milhões","R$ 1,11",LESTE FUNDO INVEST CAD PROD AGROIND,42.592.476/0001-09,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
MGHT11,"R$ 16,36","24,82%","0,32","R$ 60,90 K","-59,45%",-,5.213,1.313.773,"R$ 51,16","R$ 67,21 Milhões","R$ 0,13",FUNDO DE INVESTIMENTO IMOBILIÁRIO MOGNO HOTÉIS,34.197.776/0001-65,Investidor Qualificado,Renda,Hotéis,Fundo de Tijolo,Indeterminado,Ativa,"0,85% a.a",2024-11-09
RCRB11,"R$ 128,54","8,74%","0,63","R$ 1,27 M","-6,69%","2,60%",34.339,3.690.684,"R$ 204,93","R$ 756,34 Milhões","R$ 1,05",FUNDO DE INVESTIMENTO IMOBILIÁRIO - RIO BRAVO RENDA CORPORATIVA,03.683.056/0001-86,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,7% a.a sobre valor de mercado (minimo R$25.000,00 mensais)",2024-11-09
SNID11,"R$ 9,95","12,81%","0,97","R$ 297,58 K","10,31%",-,7.880,7.203.829,"R$ 10,23","R$ 73,68 Milhões","R$ 0,10",SUNO INFRA DEBÊNTURES FI EM COTAS DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRA RENDA FIXA CP,48.969.881/0001-80,Geral,,Fundo de Infraestrutura (FI-Infra),Outro,Indeterminado,Ativa,"0,95% a.a",2024-11-09
BTAG11,"R$ 81,60","17,09%","0,81","R$ 453,57 K","-2,33%",-,5.734,3.004.427,"R$ 101,35","R$ 304,49 Milhões","R$ 1,15",BTG Pactual Crédito Agrícola Fiagro,40.771.109/0001-47,Geral,,Fiagros,Outro,Indeterminado,Ativa,"0,25% a.a",2024-11-09
BPML11,"R$ 79,60","12,78%","0,62","R$ 2,26 M","-1,70%","7,40%",6.142,7.441.734,"R$ 129,15","R$ 961,12 Milhões","R$ 1,07",FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL SHOPPINGS,33.046.142/0001-49,Investidor Qualificado,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"1,0% a.a sobre o patrimônio líquido (mínimo de R$ 20.000,00 mensais)",2024-11-09
BBRC11,"R$ 110,90","11,04%","1,08","R$ 92,22 K","-4,12%","5,10%",9.562,1.589.989,"R$ 102,82","R$ 163,49 Milhões","R$ 1,11",BB RENDA CORPORATIVA FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.681.340/0001-04,Geral,Desenvolvimento para renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Passiva,"0,60% a.a",2024-11-09
RBED11,"R$ 114,61","20,25%","0,79","R$ 165,30 K","-1,87%",-,12.454,2.355.011,"R$ 145,41","R$ 342,45 Milhões","R$ 8,40",FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA EDUCACIONAL,13.873.457/0001-52,Geral,Desenvolvimento para renda,Educacional,Fundo de Tijolo,Indeterminado,Ativa,"0,37% a.a",2024-11-09
KORE11,"R$ 79,72","15,72%","0,75","R$ 2,86 M","-12,86%","5,74%",19.870,9.624.989,"R$ 106,03","R$ 1,02 Bilhão","R$ 1,25",Kinea Oportunidades Real Estate,52.219.978/0001-42,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,,2024-11-09
OURE11,"R$ 78,20","10,29%","0,78","R$ 224,90 K","5,49%",-,6.118,1.077.076,"R$ 100,43","R$ 108,17 Milhões","R$ 1,09",FUNDO DE INVESTIMENTO IMOBILIÁRIO OURINVEST RENDA ESTRUTURADA,28.516.650/0001-03,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,"1,05% a.a sobre patrimônio líquido",2024-11-09
BROF11,"R$ 48,00","12,72%","0,44","R$ 613,04 K","-11,42%","6,40%",10.223,11.610.801,"R$ 108,66","R$ 1,26 Bilhão","R$ 0,44",BRPR CORPORATE OFFICES FDO DE INV IMOB,48.978.859/0001-04,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,,2024-11-09
HGFF11,"R$ 75,40","11,14%","0,87","R$ 423,44 K","-2,68%",-,15.619,2.863.586,"R$ 86,38","R$ 247,37 Milhões","R$ 0,70",CSHG IMOBILIÁRIO FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.784.898/0001-22,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,80% a.a",2024-11-09
BIDB11,"R$ 85,33","14,79%","0,97","R$ 427,58 K","12,25%",-,4.333,2.124.605,"R$ 88,28","R$ 187,56 Milhões","R$ 1,00",INTER INFRA FIC INFRA RENDA FIXA CRÉDITO PRIVADO,42.294.971/0001-31,Geral,,Fundo de Infraestrutura (FI-Infra),Outro,Indeterminado,Ativa,"0,80% a.a.",2024-11-09
BPFF11,"R$ 60,50","12,26%","0,83","R$ 274,00 K","-2,50%",-,21.206,4.492.315,"R$ 73,15","R$ 328,61 Milhões","R$ 0,60",FUNDO DE INVESTIMENTO IMOBILIÁRIO - BRASIL PLURAL ABSOLUTO,17.324.357/0001-28,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,4% a.a sobre patrimônio liquido",2024-11-09
JSAF11,"R$ 82,10","14,32%","0,88","R$ 2,24 M","-9,18%",-,16.072,7.752.318,"R$ 93,53","R$ 725,10 Milhões","R$ 0,91",JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO,42.085.661/0001-07,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido",2024-11-09
KNRE11,"R$ 0,26","0,00%","0,32","R$ 6,33 K","-50,00%",-,6.349,18.547.150,"R$ 0,81","R$ 14,93 Milhões","R$ 0,04",KINEA II REAL ESTATE EQUITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.423.780/0001-97,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo misto,Determinado,Ativa,"1,0% a.a",2024-11-09
NCHB11,"R$ 8,43","15,54%","0,85","R$ 189,65 K","8,63%",-,11.998,15.281.377,"R$ 9,95","R$ 152,02 Milhões","R$ 0,10",FUNDO DE INVESTIMENTO IMOBILIÁRIO - NCH BRASIL RECEBÍVEIS IMOBILIÁRIOS,18.085.673/0001-57,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a sobre patrimônio líquido (mínimo de R$13.000,00 mensais)",2024-11-09
BIME11,"R$ 7,20","13,65%","0,84","R$ 64,85 K","12,50%",-,8.940,5.845.591,"R$ 8,58","R$ 50,17 Milhões","R$ 0,09",BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,41.081.356/0001-84,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,"1,50% a.a. sobre patrimônio líquido (mínimo R$25.000,00 mensais)",2024-11-09
RBHG11,"R$ 78,80","14,21%","0,89","R$ 357,56 K","-0,49%",-,10.899,2.167.946,"R$ 88,05","R$ 190,88 Milhões","R$ 0,85",RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH GRADE FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.647.758/0001-87,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido",2024-11-09
RVBI11,"R$ 69,00","13,99%","0,87","R$ 1,97 M","-4,11%",-,46.660,10.276.001,"R$ 79,63","R$ 818,27 Milhões","R$ 0,75",VBI REITS FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.507.457/0001-71,Geral,Renda,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,15% a.a sobre patrimônio líquido (mínimo de R$20.000,00 mensais)",2024-11-09
FIGS11,"R$ 49,92","10,42%","0,61","R$ 122,30 K","-9,02%","5,80%",13.277,2.849.989,"R$ 81,32","R$ 231,77 Milhões","R$ 0,43",GENERAL SHOPPING ATIVO E RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,17.590.518/0001-25,Geral,Desenvolvimento para venda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,20% a.a",2024-11-09
KNHF11,"R$ 90,19","12,15%","0,91","R$ 4,72 M","-0,98%","5,20%",36.890,19.663.224,"R$ 99,06","R$ 1,95 Bilhão","R$ 0,90",KINEA HEDGE FUND FDO DE INV IMOB,42.754.342/0001-47,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,"1,2% a.a",2024-11-09
XPCM11,"R$ 7,30","1,23%","0,25","R$ 11,61 K","-27,29%","62,00%",20.095,2.414.559,"R$ 28,71","R$ 69,32 Milhões","R$ 0,02",XP CORPORATE MACAÉ FUNDO DE INVESTIMENTO IMOBILIÁRIO,16.802.320/0001-03,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Passiva,"0,80% a.a",2024-11-09
CRAA11,"R$ 100,00","14,34%","0,99","R$ 1,31 M","13,02%",-,7.991,2.369.825,"R$ 101,19","R$ 239,80 Milhões","R$ 1,05",SPARTA FIAGRO FDO INV NAS CAD PROD AGRO,48.903.610/0001-21,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
VSHO11,"R$ 70,63","11,17%","0,68","R$ 92,00 K","-0,63%",-,3.595,2.098.789,"R$ 103,81","R$ 217,88 Milhões","R$ 0,72",FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM SHOPPING,23.740.595/0001-17,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,"0,75% a.a",2024-11-09
NVHO11,"R$ 12,20","8,98%","0,79","R$ 4,20 K","21,27%",-,2.005,41.494.522,"R$ 15,35","R$ 637,06 Milhões","R$ 0,09",FUNDO DE INVESTIMENTO IMOBILIÁRIO - NOVO HORIZONTE,17.025.970/0001-44,Investidor Qualificado,Desenvolvimento para renda,Hospitalar,Fundo de Tijolo,Indeterminado,Ativa,"0,10% a.a",2024-11-09
VIGT11,"R$ 54,55","15,60%","0,39","R$ 897,44 K","-15,62%",-,7.694,4.672.871,"R$ 138,32","R$ 646,33 Milhões","R$ 1,60",VINCI ENERGIA FUNDO DE INVESTIMENTO EM PARTICIPAÇÕES EM INFRAESTRUTURA,33.601.138/0001-03,Investidor Qualificado,,Fundo de Investimentos em Participações (FIP),Outro,Determinado,Ativa,"1,50% a.a.",2024-11-09
VIFI11,"R$ 7,20","12,08%","0,83","R$ 87,04 K","-0,55%",-,5.971,8.089.179,"R$ 8,69","R$ 70,29 Milhões","R$ 0,07",VINCI INSTRUMENTOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.547.855/0001-60,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,95% a.a sobre patrimônio liquido",2024-11-09
NAVT11,"R$ 77,49","18,31%","0,90","R$ 114,91 K","7,77%",-,3.124,612.271,"R$ 86,31","R$ 52,85 Milhões","R$ 0,90",NAVI IMOBILIÁRIO TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.652.252/0001-80,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,0% a.a sobre o patrimônio líquido (mínimo de R$ 20.000,00 mensais)",2024-11-09
HGAG11,"R$ 16,85","13,06%","0,71","R$ 2,43 K","-20,44%",-,1.249,248.241,"R$ 23,70","R$ 5,88 Milhões","R$ 0,15",HIGH FIAGRO,40.343.867/0001-64,Geral,Renda,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
RBVO11,"R$ 5,69","42,79%","1,01","R$ 110,23 K","-1,39%",-,6.566,515.813,"R$ 5,61","R$ 2,89 Milhões","R$ 0,01",RIO BRAVO CRÉDITO IMOBILIÁRIO II FUNDO DE INVESTIMENTO IMOBILIÁRIO,15.769.670/0001-44,Geral,Renda,Outros,Fundo de papel,Determinado,Ativa,"0,75% a.a",2024-11-09
ZAVI11,"R$ 104,00","13,84%","0,79","R$ 134,37 K","-7,47%",-,4.107,1.173.311,"R$ 131,64","R$ 154,46 Milhões","R$ 1,15",FUNDO DE INVESTIMENTO IMOBILIÁRIO ZAVIT REAL ESTATE,40.575.940/0001-23,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,"1,25% a.a.",2024-11-09
LFTT11,"R$ 10,40","0,00%","0,49","R$ 9,45 K","10,52%",-,582,3.264.989,"R$ 21,42","R$ 69,94 Milhões","R$ 3,67",LOFT II FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.796.967/0001-90,Investidor Qualificado,Híbridos,Outros,Fundo de papel,Indeterminado,Ativa,"0,20% a.a",2024-11-09
OUFF11,"R$ 61,10","9,80%","0,78","R$ 264,30 K","-6,49%",-,6.997,1.814.325,"R$ 78,55","R$ 142,52 Milhões","R$ 0,76",FUNDO DE INVESTIMENTO IMOBILIÁRIO - OURINVEST FUNDO DE FUNDOS,30.791.386/0001-68,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,"0,35% a.a.",2024-11-09
MGCR11,"R$ 9,40","0,00%","0,96","R$ 259,10 K","13,25%",-,4.355,13.416.494,"R$ 9,78","R$ 131,24 Milhões","R$ 0,10",FUNDO DE INVESTIMENTO IMOBILIÁRIO MOGNO CRI HIGH GRADE,35.652.204/0001-91,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a. sobre o valor patrimonial do fundo",2024-11-09
HOFC11,"R$ 26,88","2,12%","0,38","R$ 152,17 K","38,20%","53,00%",5.414,3.778.990,"R$ 70,25","R$ 265,47 Milhões","R$ 0,21",HEDGE OFFICE INCOME FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.894.369/0001-19,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,"0,80% a.a.",2024-11-09
SEQR11,"R$ 49,91","16,26%","0,54","R$ 125,05 K","-1,42%","9,60%",5.303,1.665.684,"R$ 92,50","R$ 154,08 Milhões","R$ 0,58",SEQUOIA III RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,09.517.273/0001-82,Geral,Renda,Outros,Outro,Indeterminado,Ativa,"1,24% a.a sobre patrimônio liquido (mínimo R$15.000,00 mensais)",2024-11-09
KNUQ11,"R$ 102,93","12,45%","1,02","R$ 3,67 M","14,19%",-,20.172,15.312.506,"R$ 100,99","R$ 1,55 Bilhão","R$ 1,10",KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOB,42.754.362/0001-18,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,2024-11-09
CPFF11,"R$ 63,13","12,99%","0,82","R$ 255,87 K","-6,03%",-,8.272,2.553.063,"R$ 76,64","R$ 195,65 Milhões","R$ 0,49",CAPITÂNIA REIT FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO,34.081.611/0001-23,Geral,Híbridos,Híbrido,Fundo de fundos,Indeterminado,Ativa,"0,15% a.a",2024-11-09
FVPQ11,"R$ 55,00","13,36%","0,29","R$ 80,00 K","-46,72%","12,00%",4.175,2.800.138,"R$ 191,55","R$ 536,38 Milhões","R$ 0,41",FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,00.332.266/0001-31,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Passiva,"0,12% a.a",2024-11-09
HCRI11,"R$ 270,37","12,06%","0,84","R$ 40,60 K","3,91%",-,3.139,199.989,"R$ 321,37","R$ 64,27 Milhões","R$ 2,65",FUNDO DE INVESTIMENTO IMOBILIÁRIO - HOSPITAL DA CRIANÇA,04.066.582/0001-60,Geral,Renda,Hospitalar,Fundo de Tijolo,Indeterminado,Passiva,"2,0% a.m",2024-11-09
PLCA11,"R$ 70,98","15,74%","0,75","R$ 139,02 K","-3,32%",-,2.762,557.008,"R$ 94,60","R$ 52,69 Milhões","R$ 0,88",PLURAL CRÉDITO AGRO,41.272.747/0001-86,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,2024-11-09
BTCR11,"R$ 88,00","0,00%","0,97","R$ 1,39 M",-,-,36.227,11.057.897,"R$ 90,57","R$ 1,00 Bilhão","R$ 0,90",FUNDO DE INVESTIMENTO IMOBILIÁRIO - BTG PACTUAL CRÉDITO IMOBILIÁRIO,29.787.928/0001-40,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"0,20% a.a sobre patrimônio liquido",2024-11-09
KINP11,"R$ 10,00","0,00%","2,71","R$ 38,40 K",-,-,1.927,7.147.923,"R$ 3,69","R$ 26,41 Milhões","R$ 3,05",EVEN PERMUTA KINEA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.070.076/0001-51,Investidor Qualificado,Desenvolvimento para venda,Outros,Fundo de desenvolvimento,Determinado,Ativa,"1,45% a.a sobre patrimônio liquido",2024-11-09
VCRR11,"R$ 64,56","12,35%","0,49","R$ 263,47 K","2,98%","7,00%",4.320,1.999.989,"R$ 130,49","R$ 260,98 Milhões","R$ 0,60",VECTIS RENDA RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO,40.041.723/0001-53,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"0,80% a.a sobre patrimônio liquido (minimo R$35.000,00 mensais)",2024-11-09
LSPA11,"R$ 30,00","159,87%","0,94","R$ 14,91 K","53,37%",-,745,404.489,"R$ 31,96","R$ 12,93 Milhões","R$ 0,25",LESTE RIVA EQUITY PREFERENCIAL I FUNDO DE INVESTIMENTO IMOBILIÁRIO,31.847.293/0001-70,Investidor Qualificado,Renda,Outros,Fundo de papel,Indeterminado,Ativa,,2024-11-09
EURO11,"R$ 223,98","10,07%","0,66","R$ 31,70 K","-0,36%",-,2.226,383.925,"R$ 337,99","R$ 129,77 Milhões","R$ 1,88",FUNDO DE INVESTIMENTO IMOBILIÁRIO EUROPAR,05.437.916/0001-27,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,"5,0% a.a",2024-11-09
IBCR11,"R$ 56,25","19,16%","0,59","R$ 171,13 K","-19,48%",-,3.922,958.412,"R$ 95,67","R$ 91,69 Milhões","R$ 0,75",FUNDO DE INVESTIMENTO IMOBILIÁRIO DE CRI INTEGRAL BREI,40.011.251/0001-96,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio líquido (mínimo R$75.000,00 mensais)",2024-11-09
MAXR11,"R$ 65,72","16,62%","0,51","R$ 66,60 K","12,42%","24,17%",4.288,1.125.644,"R$ 128,11","R$ 144,21 Milhões","R$ 2,40",FUNDO DE INVESTIMENTO IMOBILIÁRIO - MAX RETAIL,11.274.415/0001-70,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,"0,15% a.a",2024-11-09
RBHY11,"R$ 82,00","14,94%","0,88","R$ 136,64 K","0,84%",-,3.575,1.893.494,"R$ 93,08","R$ 176,25 Milhões","R$ 1,00",RIO BRAVO CRÉDITO IMOBILIÁRIO HIGH YIELD FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.899.479/0001-50,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,"1,00% a.a sobre patrimônio liquido",2024-11-09
BPRP11,"R$ 107,50","9,40%","0,86","R$ 757,00","26,14%",-,166,1.349.826,"R$ 125,57","R$ 169,50 Milhões","R$ 0,93",FUNDO DE INVESTIMENTO IMOBILIÁRIO - BRLPROP,29.800.650/0001-01,Investidor Qualificado,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Passiva,"0,25% a.a sobre patrimônio liquido (minimo R$25.000,00 mensais)",2024-11-09
SNLG11,"R$ 29,73","5,58%","0,66","R$ 124,95 K","17,28%","8,74%",3.601,2.529.955,"R$ 45,24","R$ 114,45 Milhões","R$ 0,36",Suno Log Fundo de Investimento Imobiliario,40.041.711/0001-29,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,1%,2024-11-09
BBFO11,"R$ 64,11","12,15%","0,83","R$ 356,59 K","-0,79%",-,6.839,4.003.889,"R$ 77,47","R$ 310,19 Milhões","R$ 0,62",BB FUNDO DE FUNDOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,37.180.091/0001-02,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Passiva,"0,50% a.a sobre patrimônio liquido",2024-11-09
